assay,chrom,w_mono,w_triso,mu_A,mu_R,mu_T,target_div,pop_id
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p26
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p27
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p28
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p29
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p30
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p31
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p32
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p33
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p34
a0,1,0.7666,1.0,2.86e-06,3.58e-05,0.0001,16500000.0,p35
