assay,rep,monosome_fitness,monosome_rate,revert_rate,n_gen,pop_id
a1002,20,0.001,1e-07,2.1544346900318822e-06,25,p36092
a1002,21,0.001,1e-07,2.1544346900318822e-06,25,p36093
a1002,22,0.001,1e-07,2.1544346900318822e-06,25,p36094
a1002,23,0.001,1e-07,2.1544346900318822e-06,25,p36095
a1002,24,0.001,1e-07,2.1544346900318822e-06,25,p36096
a1002,25,0.001,1e-07,2.1544346900318822e-06,25,p36097
a1002,26,0.001,1e-07,2.1544346900318822e-06,25,p36098
a1002,27,0.001,1e-07,2.1544346900318822e-06,25,p36099
a1002,28,0.001,1e-07,2.1544346900318822e-06,25,p36100
a1002,29,0.001,1e-07,2.1544346900318822e-06,25,p36101
a1002,30,0.001,1e-07,2.1544346900318822e-06,25,p36102
a1002,31,0.001,1e-07,2.1544346900318822e-06,25,p36103
a1002,32,0.001,1e-07,2.1544346900318822e-06,25,p36104
a1002,33,0.001,1e-07,2.1544346900318822e-06,25,p36105
a1002,34,0.001,1e-07,2.1544346900318822e-06,25,p36106
a1002,35,0.001,1e-07,2.1544346900318822e-06,25,p36107
a1003,0,0.001,1e-07,9.999999999999999e-06,25,p36108
a1003,1,0.001,1e-07,9.999999999999999e-06,25,p36109
a1003,2,0.001,1e-07,9.999999999999999e-06,25,p36110
a1003,3,0.001,1e-07,9.999999999999999e-06,25,p36111
a1003,4,0.001,1e-07,9.999999999999999e-06,25,p36112
a1003,5,0.001,1e-07,9.999999999999999e-06,25,p36113
a1003,6,0.001,1e-07,9.999999999999999e-06,25,p36114
a1003,7,0.001,1e-07,9.999999999999999e-06,25,p36115
a1003,8,0.001,1e-07,9.999999999999999e-06,25,p36116
a1003,9,0.001,1e-07,9.999999999999999e-06,25,p36117
a1003,10,0.001,1e-07,9.999999999999999e-06,25,p36118
a1003,11,0.001,1e-07,9.999999999999999e-06,25,p36119
a1003,12,0.001,1e-07,9.999999999999999e-06,25,p36120
a1003,13,0.001,1e-07,9.999999999999999e-06,25,p36121
a1003,14,0.001,1e-07,9.999999999999999e-06,25,p36122
a1003,15,0.001,1e-07,9.999999999999999e-06,25,p36123
a1003,16,0.001,1e-07,9.999999999999999e-06,25,p36124
a1003,17,0.001,1e-07,9.999999999999999e-06,25,p36125
a1003,18,0.001,1e-07,9.999999999999999e-06,25,p36126
a1003,19,0.001,1e-07,9.999999999999999e-06,25,p36127
a1003,20,0.001,1e-07,9.999999999999999e-06,25,p36128
a1003,21,0.001,1e-07,9.999999999999999e-06,25,p36129
a1003,22,0.001,1e-07,9.999999999999999e-06,25,p36130
a1003,23,0.001,1e-07,9.999999999999999e-06,25,p36131
a1003,24,0.001,1e-07,9.999999999999999e-06,25,p36132
a1003,25,0.001,1e-07,9.999999999999999e-06,25,p36133
a1003,26,0.001,1e-07,9.999999999999999e-06,25,p36134
a1003,27,0.001,1e-07,9.999999999999999e-06,25,p36135
a1003,28,0.001,1e-07,9.999999999999999e-06,25,p36136
a1003,29,0.001,1e-07,9.999999999999999e-06,25,p36137
a1003,30,0.001,1e-07,9.999999999999999e-06,25,p36138
a1003,31,0.001,1e-07,9.999999999999999e-06,25,p36139
a1003,32,0.001,1e-07,9.999999999999999e-06,25,p36140
a1003,33,0.001,1e-07,9.999999999999999e-06,25,p36141
a1003,34,0.001,1e-07,9.999999999999999e-06,25,p36142
a1003,35,0.001,1e-07,9.999999999999999e-06,25,p36143
a1004,0,0.001,1e-07,4.641588833612772e-05,25,p36144
a1004,1,0.001,1e-07,4.641588833612772e-05,25,p36145
a1004,2,0.001,1e-07,4.641588833612772e-05,25,p36146
a1004,3,0.001,1e-07,4.641588833612772e-05,25,p36147
a1004,4,0.001,1e-07,4.641588833612772e-05,25,p36148
a1004,5,0.001,1e-07,4.641588833612772e-05,25,p36149
a1004,6,0.001,1e-07,4.641588833612772e-05,25,p36150
a1004,7,0.001,1e-07,4.641588833612772e-05,25,p36151
a1004,8,0.001,1e-07,4.641588833612772e-05,25,p36152
a1004,9,0.001,1e-07,4.641588833612772e-05,25,p36153
a1004,10,0.001,1e-07,4.641588833612772e-05,25,p36154
a1004,11,0.001,1e-07,4.641588833612772e-05,25,p36155
a1004,12,0.001,1e-07,4.641588833612772e-05,25,p36156
a1004,13,0.001,1e-07,4.641588833612772e-05,25,p36157
a1004,14,0.001,1e-07,4.641588833612772e-05,25,p36158
a1004,15,0.001,1e-07,4.641588833612772e-05,25,p36159
a1004,16,0.001,1e-07,4.641588833612772e-05,25,p36160
a1004,17,0.001,1e-07,4.641588833612772e-05,25,p36161
a1004,18,0.001,1e-07,4.641588833612772e-05,25,p36162
a1004,19,0.001,1e-07,4.641588833612772e-05,25,p36163
a1004,20,0.001,1e-07,4.641588833612772e-05,25,p36164
a1004,21,0.001,1e-07,4.641588833612772e-05,25,p36165
a1004,22,0.001,1e-07,4.641588833612772e-05,25,p36166
a1004,23,0.001,1e-07,4.641588833612772e-05,25,p36167
a1004,24,0.001,1e-07,4.641588833612772e-05,25,p36168
a1004,25,0.001,1e-07,4.641588833612772e-05,25,p36169
a1004,26,0.001,1e-07,4.641588833612772e-05,25,p36170
a1004,27,0.001,1e-07,4.641588833612772e-05,25,p36171
a1004,28,0.001,1e-07,4.641588833612772e-05,25,p36172
a1004,29,0.001,1e-07,4.641588833612772e-05,25,p36173
a1004,30,0.001,1e-07,4.641588833612772e-05,25,p36174
a1004,31,0.001,1e-07,4.641588833612772e-05,25,p36175
a1004,32,0.001,1e-07,4.641588833612772e-05,25,p36176
a1004,33,0.001,1e-07,4.641588833612772e-05,25,p36177
a1004,34,0.001,1e-07,4.641588833612772e-05,25,p36178
a1004,35,0.001,1e-07,4.641588833612772e-05,25,p36179
a1005,0,0.001,1e-07,0.00021544346900318823,25,p36180
a1005,1,0.001,1e-07,0.00021544346900318823,25,p36181
a1005,2,0.001,1e-07,0.00021544346900318823,25,p36182
a1005,3,0.001,1e-07,0.00021544346900318823,25,p36183
a1005,4,0.001,1e-07,0.00021544346900318823,25,p36184
